,team1_score,WLoc,num_ot,team1_seed,strongseed,team2_region,team1_region,season,host,host_lat,host_long,team2_lat,team2_long,team1_lat,team1_long,team2_coach_id,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_coach_id,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_ap_preseason,team2_coaches_before_final,team2_coaches_preseason,team1_ap_final,team1_ap_preseason,team1_coaches_before_final,team1_coaches_preseason,team2_fg2pct,team2_blockpct,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team1_blockpct,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,sead_diff,score_diff,exp_win1,dist2,diff_dist
0,52,N,0,6,6,X,X,2018,detroit,42.3314,-83.0458,43.037587,-76.135062,32.709568,-97.361537,jim-boeheim-1,32.0,32.0,17.0,17.0,5.0,370,1024.0,370,20.0,13,20.0,13,jamie-dixon-1,0.0,11.0,0.0,3.0,0.0,26,373.0,149,21.0,11,21.0,11,,,,,,,,46.65551839,17.9337232,43.75,48.2023968,73.96121884,0.110451279,9.441707718,35.92845871,62.60416667,57.61741123,0.09209952,63.4,107.7,103.0,94.1,98.3,70.3,68.7,120.6,116.0,101.7,106.4,-5,-5,0.729763510996804,570.3202357416782,1081.021504325524
1,61,N,0,15,2,X,X,2022,Greenville,35.6017,-77.3725,36.00159,-78.94226,33.883627,-117.885349,mike-krzyzewski-1,35.0,35.0,25.0,25.0,12.0,308,1198.0,367,28.0,6,28.0,6,dedrique-taylor-1,1.0,1.0,0.0,0.0,0.0,147,121.0,147,21.0,10,21.0,10,9.0,10.0,9.0,,,,,55.8441558441558,13.2581100141044,33.7692666978048,56.9871159563925,51.7937219730942,0.0944484692371676,5.50098231827112,36.375,44.7293447293447,54.1843971631206,0.10368402294009,67.4185,117.152,119.357,98.2346,95.6444,66.5151,66.0235,103.807,104.647,99.3304,102.546,13,-17,0.5580458504607251,148.43117144462167,3533.186254454115
2,66,N,0,16,16,W,W,2017,dayton,39.7594,-84.1917,39.680632,-77.35222,30.028539,-90.068506,jamion-christian-1,1.0,1.0,0.0,0.0,0.0,80,82.0,80,19.0,15,19.0,15,mark-slessinger-1,1.0,1.0,0.0,0.0,0.0,82,59.0,82,19.0,11,19.0,11,,,,,,,,49.45054945,9.76310122,27.63636364,45.60770156,43.9165701,0.090101631,8.450704225,36.60714286,60.45845272,50.93795094,0.106076329,66.7253,99.3195,98.9643,99.383,103.191,68.5799,66.0122,101.904,100.862,99.4903,101.372,0,-1,0.4855035041074337,585.0776350906349,622.060699342218
3,64,N,0,9,8,W,W,2012,pittsburgh,40.4417,-80.0,39.188616,-96.581077,31.327499,-89.33791,frank-martin-1,3.0,3.0,1.0,1.0,0.0,53,116.0,53,21.0,10,21.0,10,larry-eustachy-1,0.0,3.0,0.0,1.0,0.0,112,402.0,257,25.0,8,25.0,8,,,,,,,,48.2732,12.8013,31.2571,57.6355,52.095,0.0892,7.9965,30.1412,45.1783,49.0463,0.0898,67.2175,104.8916,108.6262,93.6136,91.8746,64.4099,64.9346,107.115,109.2343,99.9955,99.2821,1,-6,0.7499963779642139,1421.3680900604918,-105.50394539837453
4,65,N,0,7,2,Y,Y,2014,milwaukee,43.05,-87.95,42.276138,-83.743132,30.28473,-97.737277,john-beilein-1,4.0,8.0,1.0,3.0,1.0,93,440.0,268,25.0,8,25.0,8,rick-barnes-1,14.0,20.0,5.0,6.0,1.0,165,583.0,299,23.0,10,23.0,10,7.0,6.0,9.0,,,,,52.6936,6.2723,31.0565,55.5556,48.2873,0.0821,15.7975,36.0157,49.9448,54.3346,0.082,62.8211,117.1425,122.2637,103.0238,101.6228,69.4218,68.1663,106.3702,109.4989,100.5983,96.3269,5,-14,0.8136523567799027,354.65192962732175,1309.5205654231875
5,56,N,0,5,5,Y,Y,2021,indianapolis,39.761,-86.165,44.564524,-123.27415,35.955093,-83.929696,wayne-tinkle-1,1.0,4.0,0.0,0.0,0.0,108,268.0,199,17.0,12,17.0,12,rick-barnes-1,2.0,24.0,1.0,7.0,0.0,72,727.0,386,18.0,8,18.0,8,,,,,,,,46.8904244817374,9.48827292110874,37.6744186046512,59.4311377245509,52.2388059701493,0.087875949350028,14.3982002249719,38.091922005571,59.1527987897126,45.1048951048951,0.10507856439206,65.4026,104.37,110.023,104.538,98.421,68.813,67.3173,105.227,109.5,91.6883,87.0091,-7,-14,0.9336393607086066,3078.574829723521,-2611.9892795038686
6,63,N,0,6,6,X,X,2013,austin,30.25,-97.75,44.977886,-93.235352,34.068892,-118.443901,tubby-smith-1,2.0,16.0,0.0,9.0,0.0,80,510.0,225,20.0,12,20.0,12,ben-howland-1,6.0,9.0,3.0,5.0,3.0,106,399.0,207,25.0,9,25.0,9,,,,23.0,13.0,,13.0,48.8768,15.7939,34.6939,61.7178,56.1111,0.1171,8.4162,30.8116,58.1686,52.1598,0.1146,63.0456,107.6562,110.6366,97.274,95.1842,69.5389,69.3219,105.8964,108.4535,97.7999,95.3998,-5,-20,0.8137885664473801,1685.0531212736942,305.59354617266786
7,76,N,0,2,1,X,X,2007,san_antonio,29.4167,-98.5,39.998389,-83.009001,35.115864,-89.993508,thad-matta-1,1.0,5.0,0.0,1.0,0.0,21,178.0,52,30.0,3,30.0,3,john-calipari-1,3.0,8.0,1.0,4.0,0.0,62,371.0,133,30.0,3,30.0,3,7.0,1.0,4.0,5.0,14.0,5.0,14.0,53.5354,15.5,37.3041,56.6569,54.0421,0.1043,15.2602,29.0065,52.4414,50.0637,0.132,65.3922,113.2083,116.5324,92.4443,89.683,70.7827,69.4387,112.5087,112.6549,88.0453,90.2784,1,-16,0.9273350472973817,1836.7915403428742,-816.7635079106691
8,81,N,1,2,1,X,X,2018,omaha,41.25,-96.0,38.957351,-95.24587,36.00159,-78.94226,bill-self-1,14.0,19.0,9.0,12.0,2.0,95,650.0,200,27.0,7,27.0,7,mike-krzyzewski-1,33.0,33.0,23.0,23.0,12.0,278,1097.0,337,26.0,7,26.0,7,3.0,4.0,4.0,4.0,1.0,9.0,1.0,56.53621982,10.97372488,38.351596,56.4453125,48.64559819,0.094340117,13.18926975,36.72795851,57.34126984,55.69917744,0.105386168,68.4,120.9,116.0,97.7,101.4,71.0,70.0,122.6,118.7,93.5,97.3,1,-4,0.9077279627689594,262.95491850759817,1326.7262898923684
9,67,N,0,6,3,Z,Z,2017,sacramento,38.5556,-121.4689,34.068892,-118.443901,39.131159,-84.51428,steve-alford-1,2.0,9.0,2.0,3.0,0.0,44,479.0,250,29.0,4,29.0,4,mick-cronin-1,6.0,8.0,1.0,1.0,0.0,134,305.0,158,29.0,5,29.0,5,20.0,8.0,16.0,18.0,25.0,18.0,,58.78833209,12.75985663,35.97980725,63.7017071,47.03947368,0.081797521,15.06129597,36.80132817,59.19732441,52.39477504,0.113351499,73.0361,120.722,122.716,101.061,99.8371,65.5413,63.5784,112.978,114.704,91.9132,91.5371,3,-12,0.9305081424854428,567.8580187257054,2611.886617097813
10,65,N,0,2,2,W,W,2018,boston,42.3601,-71.0589,33.580309,-101.876917,40.428206,-86.914435,chris-beard-1,0.0,1.0,0.0,0.0,0.0,23,72.0,28,24.0,9,24.0,9,matt-painter-1,9.0,10.0,3.0,3.0,0.0,148,318.0,153,28.0,6,28.0,6,,14.0,,10.0,21.0,11.0,20.0,51.46818923,12.92392301,38.81099271,55.15643105,47.63231198,0.107280452,12.82820705,34.43187408,59.29018789,49.04076739,0.085105926,66.6,114.0,109.2,92.1,94.2,68.2,67.2,123.2,118.5,96.6,96.7,-1,-13,0.9119712434608981,2854.475980579601,-1516.1529566560803
11,75,N,0,10,2,Z,Z,2013,dayton,39.7594,-84.1917,39.998389,-83.009001,42.026368,-93.648353,thad-matta-1,6.0,10.0,4.0,5.0,2.0,72,349.0,103,26.0,7,26.0,7,fred-hoiberg-1,1.0,1.0,0.0,0.0,0.0,38,61.0,38,22.0,11,22.0,11,4.0,6.0,4.0,,,,,49.401,12.929,36.1691,53.125,48.067,0.104,7.0087,33.3333,58.2121,53.8202,0.0897,64.306,108.6218,111.7563,91.1903,89.2588,70.2898,69.3289,111.8972,115.6354,99.802,100.0209,8,-3,0.8413389167748636,104.39301091897099,729.2400244736888
12,71,N,0,4,4,Y,Y,2003,spokane,47.6589,-117.425,36.151887,-95.945175,39.73686,-84.173662,john-phillips-1,1.0,1.0,0.0,0.0,0.0,16,49.0,16,22.0,9,22.0,9,oliver-purnell-1,1.0,2.0,0.0,0.0,0.0,115,256.0,190,24.0,5,24.0,5,25.0,,,22.0,,18.0,,51.0441,11.9819,31.5979,55.6442,49.6757,0.1063,7.4897,28.4452,61.2466,49.5868,0.0816,68.7832,105.9083,105.1844,93.8703,95.343,64.5862,65.6414,112.31,116.4746,102.0266,101.0134,-9,-13,0.8372395149371112,2178.7714852819227,611.8044166290824
13,71,N,0,3,3,W,W,2004,atlanta,33.755,-84.39,39.149291,-84.477648,30.28473,-97.737277,thad-matta-1,2.0,3.0,0.0,0.0,0.0,22,99.0,30,23.0,10,23.0,10,rick-barnes-1,5.0,11.0,2.0,3.0,1.0,57,341.0,191,23.0,7,23.0,7,,,,12.0,12.0,11.0,11.0,47.9263,6.3096,33.674,54.4053,51.6471,0.1038,10.1379,34.0642,49.4469,50.1351,0.097,65.5867,107.061,109.9152,94.5428,92.2825,68.3376,66.9475,111.1639,110.4368,96.6107,93.177,-4,-8,0.8759189700728703,600.057229300009,715.3806708583746
14,60,N,0,9,1,W,W,2010,new_orleans,29.9667,-90.05,38.028081,-84.510698,36.135301,-80.279004,john-calipari-1,0.0,11.0,0.0,7.0,0.0,2,477.0,142,32.0,2,32.0,2,dino-gaudio-1,1.0,1.0,0.0,0.0,0.0,30,128.0,154,19.0,10,19.0,10,4.0,2.0,5.0,,,,,54.5752,17.7662,33.8375,53.3771,47.6571,0.1036,12.7643,32.4339,45.3761,47.9675,0.0985,69.4026,111.7162,111.7599,92.0294,89.6768,70.7865,70.2811,100.7884,104.611,94.6932,92.6926,8,-30,0.800758343593509,1031.435717169204,107.95386539164201
